"","ID","Region","Name","Party","Date","Venue","Foundation","Reference","Coverage"
"3182",59,"North Korea","Brownback",0,"4/29/2008","Senate","Purity",2,0.0086
"3218",509,"Iraq","Burns",0,"10/7/2002","Senate","Purity",2,0.0114
"3243",1145,"Libya","Burton",0,"3/31/2011","House Hearings","Purity",1,0.0104
"3269",1762,"Afghanistan","Camp",0,"9/14/2001","House","Purity",1,0.0551
"3284",1848,"Russia","CampbellT",0,"5/12/1999","House Hearings","Purity",1,0.008
"3291",1569,"Afghanistan","Cantor",0,"9/14/2001","House","Purity",1,0.0735
"3293",1469,"Iraq","Cantor",0,"10/9/2002","House","Purity",2,0.0484
"3309",2364,"North Korea","Carter",0,"7/15/2004","Senate Hearings","Purity",2,0.0028
"3312",1590,"Afghanistan","Castle",0,"9/14/2001","House","Purity",1,0.0446
"3329",945,"Iran","Chabot",0,"7/27/2011","House Hearings","Purity",1,0.0036
"3339",2186,"Iraq","Chafee",0,"7/31/2002","Senate Hearings","Purity",1,0.0084
"3351",1468,"Iraq","Chambliss",0,"10/9/2002","House","Purity",1,0.0179
"3375",68,"Iran","Collins",0,"5/22/2013","Senate","Purity",1,0.0179
"3400",243,"Syria","Cornyn",0,"3/15/2012","Senate","Purity",5,0.0458
"3404",235,"Syria","Cornyn",0,"9/11/2013","Senate","Purity",1,0.0034
"3411",984,"North Korea","Cox",0,"10/13/1999","House Hearings","Purity",1,0.0041
"3420",1449,"Iraq","Crane",0,"10/10/2002","House","Purity",1,0.012
"3434",1258,"Iraq","DavisT",0,"10/9/2002","House","Purity",1,0.0164
"3441",1479,"Iraq","DeMint",0,"10/9/2002","House","Purity",1,0.0284
"3455",465,"Iraq","DeWine",0,"10/10/2002","Senate","Purity",1,0.0029
"3460",80,"Sudan","DeWine",0,"5/6/2004","Senate","Purity",3,0.0577
"3471",2159,"Kosovo","Dole",0,"6/24/1998","Senate Hearings","Purity",1,0.003
"3479",90,"Iraq","Domenici",0,"1/28/2003","Senate","Purity",1,0.0267
"3488",335,"Iran","Domenici",0,"5/22/1998","Senate","Purity",1,0.0064
"3503",598,"Russia","Dreier",0,"9/16/2009","House","Purity",1,0.0839
"3508",596,"Russia","Dreier",0,"1/19/2011","House","Purity",2,0.0364
"3513",597,"Russia","Dreier",0,"6/22/2011","House","Purity",2,0.0309
"3521",603,"Iraq","Duncan",0,"2/26/2003","House","Purity",1,0.0139
